               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032099,            0.032513,          0.00057499,             0.93443,             0.87891,             0.92989,             0.57065,            0.031721,            0.030712,          0.00095915,           0.0033247,           0.0033247,            0.070078
                   1,            0.033177,            0.033529,           0.0005678,             0.92879,             0.87464,             0.92291,             0.54481,             0.03346,              0.0312,           0.0010966,           0.0065262,           0.0065262,            0.039946
                   2,            0.036688,            0.034752,          0.00072087,             0.92528,              0.8644,             0.91728,             0.53944,            0.033754,            0.030857,           0.0012949,           0.0095957,           0.0095957,           0.0096825
                   3,            0.037594,            0.036507,           0.0010962,             0.91569,             0.86767,             0.91509,              0.5336,            0.034122,            0.031379,           0.0012953,            0.009406,            0.009406,            0.009406
                   4,            0.037022,             0.03621,           0.0011023,             0.92093,              0.8494,             0.90804,             0.53792,            0.033218,            0.031499,           0.0013536,            0.009406,            0.009406,            0.009406
                   5,            0.036895,            0.036328,           0.0010739,             0.91952,              0.8542,             0.91033,             0.53374,            0.033809,            0.031257,           0.0014281,            0.009208,            0.009208,            0.009208
                   6,            0.036296,             0.03625,          0.00099285,              0.9304,             0.85878,             0.91458,             0.54682,            0.032953,            0.031066,           0.0011501,             0.00901,             0.00901,             0.00901
                   7,            0.035987,             0.03561,          0.00083792,             0.91958,             0.86224,             0.91459,             0.54883,            0.032727,            0.030955,           0.0011665,            0.008812,            0.008812,            0.008812
                   8,            0.035903,            0.035747,          0.00097476,              0.9207,             0.86736,              0.9172,             0.55088,            0.032737,             0.03094,           0.0011661,            0.008614,            0.008614,            0.008614
                   9,            0.035832,            0.035816,          0.00090971,             0.91984,             0.87139,             0.91961,             0.55058,            0.032779,            0.030769,           0.0010964,            0.008416,            0.008416,            0.008416
